datetime,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5,last_price,highest,lowest,open,close,average,volume,amount,open_interest,settlement,upper_limit,lower_limit,pre_open_interest,pre_settlement,pre_close,price_tick,price_decs,volume_multiple,max_limit_order_volume,max_market_order_volume,min_limit_order_volume,min_market_order_volume
2024-05-13 14:30:13.000000,23550,25,23545,15,23555,41,23540,56,23560,33,23535,33,23565,49,23530,63,23570,44,23525,39,23550,23655,23255,23620,,23424,170726,19995803375,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:13.500000,23550,25,23545,18,23555,41,23540,56,23560,33,23535,33,23565,49,23530,62,23570,44,23525,39,23550,23655,23255,23620,,23424,170726,19995803375,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:14.000000,23550,25,23545,19,23555,41,23540,56,23560,33,23535,33,23565,49,23530,62,23570,44,23525,39,23550,23655,23255,23620,,23424,170726,19995803375,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:14.500000,23550,20,23545,18,23555,41,23540,56,23560,35,23535,34,23565,49,23530,62,23570,44,23525,39,23550,23655,23255,23620,,23424,170726,19995803375,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:16.000000,23550,37,23545,19,23555,41,23540,56,23560,35,23535,34,23565,49,23530,62,23570,44,23525,39,23550,23655,23255,23620,,23424,170726,19995803375,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:16.500000,23550,20,23545,10,23555,41,23540,56,23560,35,23535,34,23565,49,23530,62,23570,44,23525,39,23545,23655,23255,23620,,23424,170732,19996509725,77069,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:17.000000,23550,40,23545,10,23555,41,23540,56,23560,35,23535,34,23565,49,23530,62,23570,44,23525,39,23545,23655,23255,23620,,23424,170732,19996509725,77069,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:17.500000,23545,2,23540,56,23550,40,23535,34,23555,41,23530,62,23560,36,23525,39,23565,49,23520,54,23545,23655,23255,23620,,23424,170742,19997686975,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:18.000000,23550,29,23540,49,23555,44,23535,34,23560,36,23530,62,23565,49,23525,39,23570,44,23520,54,23545,23655,23255,23620,,23424,170744,19997922425,77068,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:18.500000,23545,15,23540,49,23550,43,23535,34,23555,44,23530,62,23560,36,23525,39,23565,49,23520,54,23545,23655,23255,23620,,23424,170753,19998981950,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:19.000000,23545,15,23540,49,23550,47,23535,34,23555,44,23530,62,23560,36,23525,39,23565,49,23520,54,23545,23655,23255,23620,,23424,170753,19998981950,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:19.500000,23545,4,23540,50,23550,47,23535,34,23555,44,23530,62,23560,36,23525,39,23565,49,23520,54,23545,23655,23255,23620,,23424,170753,19998981950,77070,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:20.000000,23550,47,23545,1,23555,44,23540,50,23560,37,23535,34,23565,49,23530,62,23570,44,23525,39,23545,23655,23255,23620,,23424,170758,19999570575,77068,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:20.500000,23550,44,23545,2,23555,44,23540,54,23560,37,23535,34,23565,49,23530,62,23570,44,23525,39,23545,23655,23255,23620,,23424,170759,19999688300,77067,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:21.500000,23550,44,23540,54,23555,44,23535,34,23560,37,23530,62,23565,49,23525,39,23570,44,23520,54,23545,23655,23255,23620,,23424,170761,19999923750,77067,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:22.000000,23545,3,23540,51,23550,44,23535,34,23555,44,23530,62,23560,37,23525,39,23565,49,23520,54,23545,23655,23255,23620,,23424,170763,20000159200,77069,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:22.500000,23545,5,23540,50,23550,48,23535,35,23555,44,23530,62,23560,38,23525,39,23565,49,23520,54,23545,23655,23255,23620,,23424,170763,20000159200,77069,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:23.000000,23545,6,23540,51,23550,48,23535,35,23555,44,23530,62,23560,38,23525,39,23565,49,23520,54,23545,23655,23255,23620,,23424,170763,20000159200,77069,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:24.000000,23545,9,23540,51,23550,48,23535,35,23555,44,23530,62,23560,38,23525,39,23565,49,23520,54,23545,23655,23255,23620,,23424,170763,20000159200,77069,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:24.500000,23545,9,23540,51,23550,48,23535,36,23555,44,23530,62,23560,38,23525,39,23565,49,23520,54,23545,23655,23255,23620,,23424,170763,20000159200,77069,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:25.500000,23545,9,23540,51,23550,48,23535,36,23555,45,23530,62,23560,38,23525,39,23565,50,23520,54,23545,23655,23255,23620,,23424,170763,20000159200,77069,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:26.000000,23550,48,23545,10,23555,45,23540,51,23560,38,23535,36,23565,50,23530,62,23570,44,23525,39,23545,23655,23255,23620,,23424,170772,20001218725,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:26.500000,23550,44,23545,12,23555,45,23540,55,23560,38,23535,36,23565,50,23530,62,23570,44,23525,39,23545,23655,23255,23620,,23424,170772,20001218725,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:27.500000,23550,27,23545,12,23555,45,23540,55,23560,38,23535,36,23565,50,23530,62,23570,44,23525,39,23545,23655,23255,23620,,23424,170772,20001218725,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:28.000000,23550,25,23545,15,23555,45,23540,55,23560,38,23535,36,23565,50,23530,62,23570,44,23525,39,23545,23655,23255,23620,,23424,170772,20001218725,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:28.500000,23550,22,23545,16,23555,45,23540,55,23560,38,23535,36,23565,50,23530,62,23570,44,23525,39,23545,23655,23255,23620,,23424,170772,20001218725,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:29.000000,23550,22,23545,17,23555,45,23540,55,23560,38,23535,36,23565,50,23530,62,23570,44,23525,39,23545,23655,23255,23620,,23424,170772,20001218725,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:31.000000,23550,23,23545,17,23555,45,23540,55,23560,38,23535,36,23565,50,23530,62,23570,44,23525,39,23545,23655,23255,23620,,23424,170772,20001218725,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:31.500000,23550,24,23545,17,23555,45,23540,56,23560,38,23535,36,23565,50,23530,62,23570,44,23525,39,23545,23655,23255,23620,,23424,170772,20001218725,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:32.000000,23550,24,23545,16,23555,45,23540,56,23560,38,23535,36,23565,50,23530,61,23570,44,23525,39,23545,23655,23255,23620,,23424,170772,20001218725,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:32.500000,23550,26,23545,16,23555,48,23540,56,23560,38,23535,36,23565,50,23530,61,23570,44,23525,39,23545,23655,23255,23620,,23424,170772,20001218725,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:33.000000,23550,29,23545,16,23555,48,23540,56,23560,38,23535,36,23565,50,23530,61,23570,44,23525,39,23545,23655,23255,23620,,23424,170772,20001218725,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
2024-05-13 14:30:33.500000,23550,29,23545,18,23555,48,23540,56,23560,38,23535,36,23565,50,23530,61,23570,44,23525,39,23545,23655,23255,23620,,23424,170772,20001218725,77076,,24835,22020,81154,23430,23720,5.0,0,5.0,500,0,0,0
